method,scenario,seed,n_evaluated,freq_gt,freq_pred,signed_frequency_bias,precision,recall,f1,csi,rmse,mae,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn,source_prediction_file
SAITS,20pct,123,833,0.3673,0.3986,0.0312,0.6446,0.6993,0.6708,0.5047,3.8554,1.4276,6.3522,3.6748,22.38,22.7,214,118,92,409,results/canonical/predictions/SAITS.csv
SAITS,20pct,42,833,0.3673,0.3337,-0.0336,0.7194,0.6536,0.6849,0.5208,3.8711,1.4121,6.38,3.6916,22.53,22.84,200,78,106,449,results/canonical/predictions/SAITS.csv
SAITS,20pct,456,833,0.3673,0.3061,-0.0612,0.7333,0.6111,0.6667,0.5,3.898,1.4125,6.426,3.7313,22.64,22.96,187,68,119,459,results/canonical/predictions/SAITS.csv
SAITS,block30d,123,840,0.3262,0.3726,0.0464,0.623,0.7117,0.6644,0.4974,4.7283,1.6045,8.2723,4.6922,27.62,28.52,195,118,79,448,results/canonical/predictions/SAITS.csv
SAITS,block30d,42,840,0.3262,0.2619,-0.0643,0.6682,0.5365,0.5951,0.4236,4.7608,1.6053,8.3295,4.7427,27.74,28.65,147,73,127,493,results/canonical/predictions/SAITS.csv
SAITS,block30d,456,840,0.3262,0.2548,-0.0714,0.6682,0.5219,0.5861,0.4145,4.7571,1.5955,8.3241,4.7525,27.71,28.61,143,71,131,495,results/canonical/predictions/SAITS.csv
SAITS,block7d,123,840,0.3262,0.3917,0.0655,0.6231,0.7482,0.6799,0.5151,4.1182,1.438,7.2,4.1388,25.75,26.74,205,124,69,442,results/canonical/predictions/SAITS.csv
SAITS,block7d,42,840,0.3262,0.306,-0.0202,0.607,0.5693,0.5876,0.416,4.144,1.4354,7.2485,4.1951,25.85,26.84,156,101,118,465,results/canonical/predictions/SAITS.csv
SAITS,block7d,456,840,0.3262,0.2905,-0.0357,0.6393,0.5693,0.6023,0.4309,4.1706,1.4404,7.2952,4.2456,25.91,26.85,156,88,118,478,results/canonical/predictions/SAITS.csv
SAITS,netblock30d,123,840,0.2548,0.6119,0.3571,0.2996,0.7196,0.4231,0.2683,3.1852,1.1186,6.3058,4.0305,23.25,23.61,154,360,60,266,results/canonical/predictions/SAITS.csv
SAITS,netblock30d,42,840,0.2548,0.3083,0.0536,0.3668,0.4439,0.4017,0.2513,3.2072,1.1009,6.3522,4.0917,23.27,23.62,95,164,119,462,results/canonical/predictions/SAITS.csv
SAITS,netblock30d,456,840,0.2548,0.0202,-0.2345,0.6471,0.0514,0.0952,0.05,3.226,1.0725,6.3906,4.146,23.32,23.66,11,6,203,620,results/canonical/predictions/SAITS.csv
SingleStageRF,10pct,123,416,0.3389,0.637,0.2981,0.5208,0.9787,0.6798,0.5149,3.1936,1.3733,5.3126,3.1996,14.73,17.92,138,127,3,148,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,10pct,42,416,0.3389,0.6226,0.2837,0.529,0.9716,0.685,0.5209,3.2254,1.3968,5.3694,3.2719,14.92,17.91,137,122,4,153,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,10pct,456,416,0.3389,0.6274,0.2885,0.5249,0.9716,0.6816,0.517,3.2041,1.3847,5.326,3.231,14.73,17.87,137,124,4,151,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,20pct,123,833,0.3673,0.6711,0.3037,0.5098,0.9314,0.659,0.4914,2.98,1.3792,4.6506,2.9136,12.27,14.59,285,274,21,253,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,20pct,42,833,0.3673,0.6591,0.2917,0.51,0.915,0.655,0.487,3.011,1.397,4.6905,2.9506,12.44,14.67,280,269,26,258,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,20pct,456,833,0.3673,0.6579,0.2905,0.5164,0.9248,0.6628,0.4956,2.98,1.3874,4.6503,2.9323,12.16,14.5,283,265,23,262,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,block30d,123,840,0.3262,0.6821,0.356,0.4572,0.9562,0.6187,0.4479,3.7017,1.6108,6.1048,3.719,19.26,21.11,262,311,12,255,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,block30d,42,840,0.3262,0.6631,0.3369,0.4722,0.9599,0.633,0.463,3.691,1.6079,6.089,3.7304,19.43,21.17,263,294,11,272,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,block30d,456,840,0.3262,0.6786,0.3524,0.4632,0.9635,0.6256,0.4552,3.6993,1.6038,6.1137,3.7233,19.47,21.3,264,306,10,260,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,block7d,123,840,0.3262,0.6333,0.3071,0.4925,0.9562,0.6501,0.4816,2.9471,1.3075,4.9075,3.1167,14.22,16.21,262,270,12,296,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,block7d,42,840,0.3262,0.6357,0.3095,0.4888,0.9526,0.646,0.4771,2.9212,1.3005,4.8552,3.1004,14.35,16.2,261,273,13,293,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,block7d,456,840,0.3262,0.6262,0.3,0.4981,0.9562,0.655,0.487,2.9392,1.299,4.9006,3.1045,14.61,16.53,262,264,12,302,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,netblock30d,123,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.019,1.3948,5.8587,3.6979,22.29,22.73,214,626,0,0,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,netblock30d,42,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.0123,1.3902,5.8339,3.699,22.22,22.68,214,626,0,0,results/canonical/predictions/SingleStageRF.csv
SingleStageRF,netblock30d,456,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.0114,1.3847,5.8277,3.7005,22.18,22.65,214,626,0,0,results/canonical/predictions/SingleStageRF.csv
WGANGP_PrecipFix,10pct,123,416,0.3389,0.3534,0.0144,0.5102,0.5319,0.5208,0.3521,4.3504,1.5646,7.4532,4.4043,25.23,26.15,75,72,66,203,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,10pct,42,416,0.3389,0.2812,-0.0577,0.4103,0.3404,0.3721,0.2286,4.43,1.5892,7.6022,4.5195,25.4,26.28,48,69,93,206,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,10pct,456,416,0.3389,0.2548,-0.0841,0.4057,0.305,0.3482,0.2108,4.4531,1.5851,7.6456,4.5552,25.5,26.39,43,63,98,212,results/canonical/predictions/WGANGP_PrecipFix.csv
