method,scenario,seed,pearson_amount_corr_mae,spearman_amount_corr_mae,wet_occurrence_corr_mae
WGANGP_PrecipFix,10pct,42,0.05525349316678677,0.11116837103527683,0.10767865983229997
WGANGP_PrecipFix,20pct,42,0.14891732891238432,0.18446073138218375,0.15938508845549124
WGANGP_PrecipFix,block7d,42,0.09840435712937355,0.17893947269305552,0.1699869217598562
WGANGP_PrecipFix,block30d,42,0.07084450659627715,0.1675880217362984,0.15051390634190273
WGANGP_PrecipFix,10pct,123,0.05094259937677278,0.07845626418255969,0.07627142903962962
WGANGP_PrecipFix,20pct,123,0.14326139503285026,0.17101404614760382,0.15880734411208522
WGANGP_PrecipFix,block7d,123,0.09479148407669787,0.16115864271889263,0.15173786000085032
WGANGP_PrecipFix,block30d,123,0.06960587740798437,0.18261101725534745,0.17544434458742955
WGANGP_PrecipFix,10pct,456,0.056021275515330114,0.11177042869530322,0.10668718254014875
WGANGP_PrecipFix,20pct,456,0.1488069834535947,0.18760336788168286,0.1681006464984216
WGANGP_PrecipFix,block7d,456,0.09951620740473043,0.17826770161458075,0.16867656670542774
WGANGP_PrecipFix,block30d,456,0.07168671929047385,0.1964798485162509,0.19124538927306797
