method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
MICE,block7d,deterministic,17748,44.0,37.0,7.0,5.906779661016949,4.674603174603175,1.232176486413774,18.299999999999983,15.75,2.549999999999983,118,126
MICE,block7d,deterministic,17750,48.0,38.0,10.0,5.582677165354331,4.902255639097745,0.6804215262565858,18.0,16.0,2.0,127,133
MICE,block30d,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.132231404958677,0.6258331111703548,18.0,18.0,0.0,124,121
MICE,block30d,deterministic,17704,44.0,44.0,0.0,5.392307692307693,5.273504273504273,0.11880341880341927,18.0,18.0,0.0,130,117
MICE,block30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,5.008403361344538,0.8983762996724112,18.299999999999983,18.19999999999999,0.09999999999999432,118,119
MICE,block30d,deterministic,17750,48.0,48.0,0.0,5.582677165354331,4.94488188976378,0.6377952755905509,18.0,17.69999999999999,0.30000000000001137,127,127
MICE,netblock30d,deterministic,17155,45.0,30.0,15.0,5.758064516129032,5.036036036036036,0.7220284800929964,18.0,17.5,0.5,124,111
MICE,netblock30d,deterministic,17704,44.0,37.0,7.0,5.392307692307693,4.64957264957265,0.7427350427350428,18.0,16.0,2.0,130,117
MICE,netblock30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,5.132075471698113,0.774704189318836,18.299999999999983,15.0,3.299999999999983,118,106
MICE,netblock30d,deterministic,17750,48.0,38.0,10.0,5.582677165354331,4.724137931034483,0.8585392343198475,18.0,16.25,1.75,127,116
AmountRF_DLPIF,10pct,42,17155,45.0,45.0,0.0,5.758064516129032,5.672,0.08606451612903232,18.0,18.0,0.0,124,125
AmountRF_DLPIF,10pct,42,17704,44.0,44.0,0.0,5.392307692307693,5.2556390977443606,0.13666859456333214,18.0,18.0,0.0,130,133
AmountRF_DLPIF,10pct,42,17748,44.0,44.0,0.0,5.906779661016949,6.078947368421052,0.17216770740410325,18.299999999999983,21.399999999999977,3.0999999999999943,118,114
AmountRF_DLPIF,10pct,42,17750,48.0,45.0,3.0,5.582677165354331,5.68,0.09732283464566915,18.0,18.0,0.0,127,125
AmountRF_DLPIF,20pct,42,17155,45.0,45.0,0.0,5.758064516129032,5.829268292682927,0.07120377655389465,18.0,19.0,1.0,124,123
AmountRF_DLPIF,20pct,42,17704,44.0,44.0,0.0,5.392307692307693,5.453846153846154,0.06153846153846132,18.0,18.099999999999994,0.09999999999999432,130,130
AmountRF_DLPIF,20pct,42,17748,44.0,45.0,1.0,5.906779661016949,5.858333333333333,0.048446327683615564,18.299999999999983,24.099999999999994,5.800000000000011,118,120
AmountRF_DLPIF,20pct,42,17750,48.0,48.0,0.0,5.582677165354331,5.860655737704918,0.2779785723505874,18.0,24.94999999999999,6.949999999999989,127,122
AmountRF_DLPIF,block7d,42,17155,45.0,48.0,3.0,5.758064516129032,5.909090909090909,0.15102639296187714,18.0,18.0,0.0,124,121
AmountRF_DLPIF,block7d,42,17704,44.0,44.0,0.0,5.392307692307693,5.456692913385827,0.06438522107813416,18.0,18.0,0.0,130,127
AmountRF_DLPIF,block7d,42,17748,44.0,44.0,0.0,5.906779661016949,5.680327868852459,0.22645179216448952,18.299999999999983,17.899999999999977,0.4000000000000057,118,122
AmountRF_DLPIF,block7d,42,17750,48.0,64.0,16.0,5.582677165354331,6.170940170940171,0.5882630055858407,18.0,20.999999999999943,2.999999999999943,127,117
AmountRF_DLPIF,block30d,42,17155,45.0,45.0,0.0,5.758064516129032,5.883333333333334,0.12526881720430172,18.0,18.099999999999994,0.09999999999999432,124,120
AmountRF_DLPIF,block30d,42,17704,44.0,44.0,0.0,5.392307692307693,5.745901639344262,0.3535939470365692,18.0,18.0,0.0,130,122
