audit_category,check_name,method,scenario,seed,status,observed,expected,tolerance,source_file,message
integrity,prediction_mask_length_match,MissingnessIndicatorRF,10pct,123,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,10pct,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,10pct,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,10pct,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,10pct,456,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,10pct,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,10pct,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,20pct,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,20pct,42,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,20pct,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,20pct,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,20pct,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,20pct,123,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,20pct,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,20pct,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,20pct,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,20pct,456,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,20pct,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,20pct,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,block7d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,block7d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,block7d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,block7d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,block7d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,block7d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,block7d,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,block7d,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,block7d,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,block7d,456,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,block7d,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,block7d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,block30d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,block30d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,block30d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,block30d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,block30d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,block30d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,block30d,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,block30d,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,block30d,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,block30d,456,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,block30d,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,block30d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,netblock30d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,netblock30d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,netblock30d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,netblock30d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,netblock30d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,netblock30d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,netblock30d,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,netblock30d,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MissingnessIndicatorRF,netblock30d,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MissingnessIndicatorRF,netblock30d,456,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MissingnessIndicatorRF,netblock30d,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MissingnessIndicatorRF,netblock30d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,expected_groups_exist,SAITS,,,PASS,15,15,,,all groups present
completeness,no_unexpected_groups,SAITS,,,PASS,15,15,,,no unexpected groups
completeness,no_duplicate_rows,SAITS,10pct,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,10pct,42,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,10pct,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,10pct,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,10pct,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,10pct,123,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,10pct,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,10pct,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,10pct,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,10pct,456,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,10pct,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,10pct,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,20pct,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,20pct,42,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,20pct,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,20pct,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,20pct,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,20pct,123,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,20pct,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,20pct,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,20pct,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,20pct,456,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,20pct,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,20pct,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,block7d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,block7d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,block7d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,block7d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,block7d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,block7d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,block7d,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,block7d,123,PASS,True,True,,,every row_index is a true art_mask position
