method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error
KNN,block7d,deterministic,17704,44.0,35.0,9.0,5.392307692307693,5.030075187969925,0.36223250433776766,18.0,17.0,1.0
KNN,block7d,deterministic,17748,44.0,39.0,5.0,5.906779661016949,4.804511278195489,1.1022683828214603,18.299999999999983,15.399999999999991,2.8999999999999915
KNN,block7d,deterministic,17750,48.0,46.0,2.0,5.582677165354331,5.2727272727272725,0.3099498926270581,18.0,18.0,0.0
MICE,block7d,deterministic,17155,45.0,26.0,19.0,5.758064516129032,4.8307692307692305,0.9272952853598015,18.0,16.0,2.0
MICE,block7d,deterministic,17704,44.0,35.0,9.0,5.392307692307693,4.635036496350365,0.757271195957328,18.0,16.19999999999999,1.8000000000000114
MICE,block7d,deterministic,17748,44.0,37.0,7.0,5.906779661016949,4.674603174603175,1.232176486413774,18.299999999999983,15.75,2.549999999999983
MICE,block7d,deterministic,17750,48.0,38.0,10.0,5.582677165354331,4.902255639097745,0.6804215262565858,18.0,16.0,2.0
SingleStageRF,block7d,42,17155,45.0,26.0,19.0,5.758064516129032,4.924812030075188,0.8332524860538442,18.0,18.0,0.0
SingleStageRF,block7d,42,17704,44.0,35.0,9.0,5.392307692307693,4.733333333333333,0.6589743589743593,18.0,16.299999999999997,1.7000000000000028
SingleStageRF,block7d,42,17748,44.0,36.0,8.0,5.906779661016949,4.651515151515151,1.2552645095017976,18.299999999999983,15.449999999999989,2.8499999999999943
SingleStageRF,block7d,42,17750,48.0,44.0,4.0,5.582677165354331,4.909774436090226,0.6729027292641048,18.0,15.399999999999991,2.6000000000000085
DirectTwoStageRF,block7d,42,17155,45.0,48.0,3.0,5.758064516129032,5.909090909090909,0.15102639296187714,18.0,18.0,0.0
DirectTwoStageRF,block7d,42,17704,44.0,44.0,0.0,5.392307692307693,5.456692913385827,0.06438522107813416,18.0,18.0,0.0
DirectTwoStageRF,block7d,42,17748,44.0,44.0,0.0,5.906779661016949,5.680327868852459,0.22645179216448952,18.299999999999983,17.899999999999977,0.4000000000000057
DirectTwoStageRF,block7d,42,17750,48.0,64.0,16.0,5.582677165354331,6.170940170940171,0.5882630055858407,18.0,20.999999999999943,2.999999999999943
SAITS,block7d,42,17155,45.0,45.0,0.0,5.758064516129032,5.638655462184874,0.11940905394415768,18.0,18.19999999999999,0.19999999999998863
SAITS,block7d,42,17704,44.0,39.0,5.0,5.392307692307693,5.054263565891473,0.3380441264162197,18.0,17.0,1.0
SAITS,block7d,42,17748,44.0,39.0,5.0,5.906779661016949,5.130434782608695,0.7763448784082536,18.299999999999983,16.0,2.299999999999983
SAITS,block7d,42,17750,48.0,45.0,3.0,5.582677165354331,5.137096774193548,0.4455803911607825,18.0,15.0,3.0
SingleStageRF,block7d,123,17155,45.0,26.0,19.0,5.758064516129032,5.0,0.758064516129032,18.0,18.0,0.0
SingleStageRF,block7d,123,17704,44.0,39.0,5.0,5.392307692307693,4.768656716417911,0.6236509758897819,18.0,16.349999999999994,1.6500000000000057
SingleStageRF,block7d,123,17748,44.0,37.0,7.0,5.906779661016949,4.651515151515151,1.2552645095017976,18.299999999999983,15.449999999999989,2.8499999999999943
SingleStageRF,block7d,123,17750,48.0,44.0,4.0,5.582677165354331,5.0,0.5826771653543306,18.0,15.5,2.5
DirectTwoStageRF,block7d,123,17155,45.0,48.0,3.0,5.758064516129032,5.780487804878049,0.022423288749016557,18.0,18.0,0.0
DirectTwoStageRF,block7d,123,17704,44.0,44.0,0.0,5.392307692307693,5.433070866141732,0.04076317383403971,18.0,18.0,0.0
DirectTwoStageRF,block7d,123,17748,44.0,44.0,0.0,5.906779661016949,5.444444444444445,0.4623352165725043,18.299999999999983,17.5,0.799999999999983
DirectTwoStageRF,block7d,123,17750,48.0,64.0,16.0,5.582677165354331,6.042016806722689,0.45933964136835836,18.0,20.49999999999997,2.4999999999999716
SAITS,block7d,123,17155,45.0,31.0,14.0,5.758064516129032,5.568,0.1900645161290324,18.0,18.0,0.0
SAITS,block7d,123,17704,44.0,56.0,12.0,5.392307692307693,5.75206611570248,0.35975842339478703,18.0,18.0,0.0
SAITS,block7d,123,17748,44.0,39.0,5.0,5.906779661016949,5.598290598290598,0.308489062726351,18.299999999999983,18.0,0.29999999999998295
SAITS,block7d,123,17750,48.0,77.0,29.0,5.582677165354331,6.267241379310345,0.6845642139560146,18.0,25.0,7.0
SingleStageRF,block7d,456,17155,45.0,31.0,14.0,5.758064516129032,4.880597014925373,0.8774675012036592,18.0,18.0,0.0
SingleStageRF,block7d,456,17704,44.0,35.0,9.0,5.392307692307693,4.698529411764706,0.6937782805429871,18.0,16.25,1.75
SingleStageRF,block7d,456,17748,44.0,37.0,7.0,5.906779661016949,4.681818181818182,1.2249614791987673,18.299999999999983,15.449999999999989,2.8499999999999943
SingleStageRF,block7d,456,17750,48.0,44.0,4.0,5.582677165354331,4.984848484848484,0.5978286805058461,18.0,15.449999999999989,2.5500000000000114
DirectTwoStageRF,block7d,456,17155,45.0,48.0,3.0,5.758064516129032,5.829268292682927,0.07120377655389465,18.0,18.0,0.0
DirectTwoStageRF,block7d,456,17704,44.0,44.0,0.0,5.392307692307693,5.5,0.10769230769230731,18.0,18.0,0.0
DirectTwoStageRF,block7d,456,17748,44.0,44.0,0.0,5.906779661016949,5.658536585365853,0.2482430756510956,18.299999999999983,17.799999999999983,0.5
DirectTwoStageRF,block7d,456,17750,48.0,64.0,16.0,5.582677165354331,6.110169491525424,0.5274923261710933,18.0,20.749999999999957,2.7499999999999574
SAITS,block7d,456,17155,45.0,45.0,0.0,5.758064516129032,5.901639344262295,0.1435748281332634,18.0,18.0,0.0
SAITS,block7d,456,17704,44.0,56.0,12.0,5.392307692307693,5.991666666666666,0.5993589743589736,18.0,18.0,0.0
SAITS,block7d,456,17748,44.0,39.0,5.0,5.906779661016949,5.553719008264463,0.353060652752486,18.299999999999983,16.0,2.299999999999983
SAITS,block7d,456,17750,48.0,68.0,20.0,5.582677165354331,6.482456140350878,0.899778974996547,18.0,25.0,7.0
Mean,block30d,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.68,0.07806451612903231,18.0,18.099999999999994,0.09999999999999432
Mean,block30d,deterministic,17704,44.0,44.0,0.0,5.392307692307693,5.887755102040816,0.4954474097331234,18.0,18.749999999999957,0.7499999999999574
Mean,block30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,5.46078431372549,0.4459953472914586,18.299999999999983,19.899999999999977,1.5999999999999943
Mean,block30d,deterministic,17750,48.0,48.0,0.0,5.582677165354331,5.027272727272727,0.5554044380816032,18.0,18.0,0.0
Linear,block30d,deterministic,17155,45.0,53.0,8.0,5.758064516129032,7.229166666666667,1.471102150537635,18.0,29.0,11.0
Linear,block30d,deterministic,17704,44.0,68.0,24.0,5.392307692307693,7.574468085106383,2.18216039279869,18.0,37.349999999999994,19.349999999999994
Linear,block30d,deterministic,17748,44.0,56.0,12.0,5.906779661016949,6.838383838383838,0.9316041773668893,18.299999999999983,33.099999999999994,14.800000000000011
Linear,block30d,deterministic,17750,48.0,54.0,6.0,5.582677165354331,6.064814814814815,0.4821376494604843,18.0,21.299999999999983,3.299999999999983
