method,scenario,thresh_mm,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,dry_accuracy,csi,tp,fp,fn,tn
WGAN-GP_seed456,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_seed456+Precip2Stage,block7d,0.1,2070,0.3169,0.313,-0.0039,0.9552,0.9436,0.9494,0.9795,0.9036,619,29,37,1385
WGAN-GP_seed456+PrecipFix,block7d,0.1,2070,0.3169,0.3256,0.0087,0.3828,0.3933,0.388,0.7058,0.2407,258,416,398,998
WGAN-GP_seq30_seed42,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_seq30_seed42+Precip2Stage,block7d,0.1,2070,0.3169,0.3126,-0.0043,0.9583,0.9451,0.9517,0.9809,0.9078,620,27,36,1387
WGAN-GP_seq30_seed42+PrecipFix,block7d,0.1,2070,0.3169,0.315,-0.0019,0.3926,0.3902,0.3914,0.7199,0.2433,256,396,400,1018
WGAN-GP_seq90_seed42,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
WGAN-GP_seq90_seed42+Precip2Stage,block7d,0.1,2070,0.3169,0.3126,-0.0043,0.9583,0.9451,0.9517,0.9809,0.9078,620,27,36,1387
WGAN-GP_seq90_seed42+PrecipFix,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
mean,block7d,0.1,2070,0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.0,0.3169,656,1414,0,0
linear,block7d,0.1,2070,0.3169,0.4145,0.0976,0.5804,0.7591,0.6579,0.7454,0.4902,498,360,158,1054
knn,block7d,0.1,2070,0.3169,0.9947,0.6778,0.3176,0.997,0.4818,0.0064,0.3173,654,1405,2,9
mice,block7d,0.1,2070,0.3169,0.9976,0.6807,0.3177,1.0,0.4822,0.0035,0.3177,656,1409,0,5
WGAN-GP_modeB_seed123,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
WGAN-GP_modeB_seed123+Precip2Stage,block30d,0.1,2020,0.3104,0.3158,0.0054,0.9451,0.9617,0.9534,0.9749,0.9109,603,35,24,1358
WGAN-GP_modeB_seed123+PrecipFix,block30d,0.1,2020,0.3104,0.3312,0.0208,0.3408,0.3636,0.3519,0.6834,0.2135,228,441,399,952
WGAN-GP_modeB_seed42,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
